strategy,name,no_property_sample,eigval_prod,pstable,avg_min_dist,ratio,maxdim,rrate,name,props,log_paths,time metric,acquisition,time metric value
bald,ShapeNet::FloorLamp_18d91829adf1574ecf004563556ddb36,4,0.00011979540149201948,0.0,0.006082636685405283,75.46053967129461,0.2,0.4989473684210527,ShapeNet::FloorLamp_18d91829adf1574ecf004563556ddb36,0.000_0.004_-0.015_0.138_0.272,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object49-20230327-123531,average precision,24,-0.0
bald,ShapeNet::FoodItem_16d2017606945083324387582810ec10,4,8.998631626542024e-05,0.0,0.005663623965218694,3.3607083424815563,0.2,0.864963503649635,ShapeNet::FoodItem_16d2017606945083324387582810ec10,0.000_0.048_-0.000_0.136_0.179,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object264-20230327-170101,average precision,24,-0.0
bald,ShapeNet::Mug_159e56c18906830278d8f8c02c47cde0,0,0.00011352105679552951,0.0,0.019446013209435276,4.9294892831984365,0.2,0.7990697674418605,ShapeNet::Mug_159e56c18906830278d8f8c02c47cde0,-0.006_0.000_-0.003_0.110_0.205,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object35-20230327-122335,average precision,24,-0.0
bald,ShapeNet::Mug_159e56c18906830278d8f8c02c47cde0,1,0.00011352105679552951,0.0,0.019446013209435276,4.9294892831984365,0.2,0.7990697674418605,ShapeNet::Mug_159e56c18906830278d8f8c02c47cde0,-0.006_0.000_-0.003_0.159_0.265,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object36-20230327-122427,average precision,24,-0.0
bald,ShapeNet::Mug_159e56c18906830278d8f8c02c47cde0,2,0.00011352105679552951,0.0,0.019446013209435276,4.9294892831984365,0.2,0.7990697674418605,ShapeNet::Mug_159e56c18906830278d8f8c02c47cde0,-0.006_0.000_-0.003_0.160_0.288,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object37-20230327-122517,average precision,24,-0.0
bald,ShapeNet::Mug_159e56c18906830278d8f8c02c47cde0,3,0.00011352105679552951,0.0,0.019446013209435276,4.9294892831984365,0.2,0.7990697674418605,ShapeNet::Mug_159e56c18906830278d8f8c02c47cde0,-0.006_0.000_-0.003_0.175_0.189,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object38-20230327-122609,average precision,24,-0.0
bald,ShapeNet::Mug_159e56c18906830278d8f8c02c47cde0,4,0.00011352105679552951,0.0,0.019446013209435276,4.9294892831984365,0.2,0.7990697674418605,ShapeNet::Mug_159e56c18906830278d8f8c02c47cde0,-0.006_0.000_-0.003_0.104_0.298,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object39-20230327-122659,average precision,24,-0.0
bald,ShapeNet::OfficeChair_14977bca24205cc2a6fee8e2140acec9,0,8.699832249088836e-05,0.0,0.02160124475293377,19.59932641466252,0.2,0.39032258064516134,ShapeNet::OfficeChair_14977bca24205cc2a6fee8e2140acec9,-0.001_0.016_0.010_0.113_0.125,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object130-20230327-141713,average precision,24,-0.0
bald,ShapeNet::OfficeChair_14977bca24205cc2a6fee8e2140acec9,1,8.699832249088836e-05,0.0,0.02160124475293377,19.59932641466252,0.2,0.39032258064516134,ShapeNet::OfficeChair_14977bca24205cc2a6fee8e2140acec9,-0.001_0.016_0.010_0.184_0.148,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object131-20230327-141810,average precision,24,-0.0
bald,ShapeNet::OfficeChair_14977bca24205cc2a6fee8e2140acec9,2,8.699832249088836e-05,0.0,0.02160124475293377,19.59932641466252,0.2,0.39032258064516134,ShapeNet::OfficeChair_14977bca24205cc2a6fee8e2140acec9,-0.001_0.016_0.010_0.103_0.165,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object132-20230327-141907,average precision,24,-0.0
bald,ShapeNet::OfficeChair_14977bca24205cc2a6fee8e2140acec9,3,8.699832249088836e-05,0.0,0.02160124475293377,19.59932641466252,0.2,0.39032258064516134,ShapeNet::OfficeChair_14977bca24205cc2a6fee8e2140acec9,-0.001_0.016_0.010_0.139_0.275,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object133-20230327-142004,average precision,24,-0.0
bald,ShapeNet::OfficeChair_14977bca24205cc2a6fee8e2140acec9,4,8.699832249088836e-05,0.0,0.02160124475293377,19.59932641466252,0.2,0.39032258064516134,ShapeNet::OfficeChair_14977bca24205cc2a6fee8e2140acec9,-0.001_0.016_0.010_0.191_0.259,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object134-20230327-142102,average precision,24,-0.0
bald,ShapeNet::Table_63c654404604688c153f43b48d21615e,2,0.00015777262444012624,0.0,0.01923203425282663,9.462524768161614,0.2,0.8691275167785235,ShapeNet::Table_63c654404604688c153f43b48d21615e,-0.000_-0.000_0.028_0.199_0.106,learning/experiments/logs/grasp_no-com-2-latents_fit_bald_train_geo_object332-20230327-182222,average precision,24,-0.0
random,ShapeNet::Canister_714320da4aafcb4a47be2353d2b2403b,4,2.8005664864912037e-05,0.0,0.004857664454787619,2.2356580461387634,0.2,0.8662878787878788,ShapeNet::Canister_714320da4aafcb4a47be2353d2b2403b,0.001_-0.000_-0.028_0.100_0.125,learning/experiments/logs/grasp_no-com-2-latents_fit_random_train_geo_object44-20230329-223322,average precision,24,-0.0
random,ShapeNet::CeilingLamp_b375f5b9102a97fecd187756f8df9a56,0,7.596672566727864e-05,0.0,0.013134419073441858,2.81933546293868,0.2,0.8770491803278688,ShapeNet::CeilingLamp_b375f5b9102a97fecd187756f8df9a56,0.000_-0.000_-0.015_0.161_0.198,learning/experiments/logs/grasp_no-com-2-latents_fit_random_train_geo_object340-20230329-235439,average precision,24,-0.0
random,ShapeNet::CeilingLamp_b375f5b9102a97fecd187756f8df9a56,1,7.596672566727864e-05,0.0,0.013134419073441858,2.81933546293868,0.2,0.8770491803278688,ShapeNet::CeilingLamp_b375f5b9102a97fecd187756f8df9a56,0.000_-0.000_-0.015_0.195_0.188,learning/experiments/logs/grasp_no-com-2-latents_fit_random_train_geo_object341-20230329-235454,average precision,24,-0.0
random,ShapeNet::CeilingLamp_b375f5b9102a97fecd187756f8df9a56,2,7.596672566727864e-05,0.0,0.013134419073441858,2.81933546293868,0.2,0.8770491803278688,ShapeNet::CeilingLamp_b375f5b9102a97fecd187756f8df9a56,0.000_-0.000_-0.015_0.149_0.145,learning/experiments/logs/grasp_no-com-2-latents_fit_random_train_geo_object342-20230329-235509,average precision,24,-0.0
random,ShapeNet::CeilingLamp_b375f5b9102a97fecd187756f8df9a56,3,7.596672566727864e-05,0.0,0.013134419073441858,2.81933546293868,0.2,0.8770491803278688,ShapeNet::CeilingLamp_b375f5b9102a97fecd187756f8df9a56,0.000_-0.000_-0.015_0.151_0.275,learning/experiments/logs/grasp_no-com-2-latents_fit_random_train_geo_object343-20230329-235525,average precision,24,-0.0
random,ShapeNet::CeilingLamp_b375f5b9102a97fecd187756f8df9a56,4,7.596672566727864e-05,0.0,0.013134419073441858,2.81933546293868,0.2,0.8770491803278688,ShapeNet::CeilingLamp_b375f5b9102a97fecd187756f8df9a56,0.000_-0.000_-0.015_0.155_0.240,learning/experiments/logs/grasp_no-com-2-latents_fit_random_train_geo_object344-20230329-235541,average precision,24,-0.0
random,ShapeNet::ChestOfDrawers_d5dfa7ba7d587fa7cc77a85ce16f6c28,0,4.974677367705823e-05,0.0,0.020587105127664884,5.154108395329701,0.2,0.6571428571428571,ShapeNet::ChestOfDrawers_d5dfa7ba7d587fa7cc77a85ce16f6c28,0.000_-0.000_0.011_0.144_0.156,learning/experiments/logs/grasp_no-com-2-latents_fit_random_train_geo_object80-20230329-224254,average precision,24,-0.0
random,ShapeNet::ChestOfDrawers_d5dfa7ba7d587fa7cc77a85ce16f6c28,1,4.974677367705823e-05,0.0,0.020587105127664884,5.154108395329701,0.2,0.6571428571428571,ShapeNet::ChestOfDrawers_d5dfa7ba7d587fa7cc77a85ce16f6c28,0.000_-0.000_0.011_0.159_0.289,learning/experiments/logs/grasp_no-com-2-latents_fit_random_train_geo_object81-20230329-224308,average precision,24,-0.0
random,ShapeNet::ChestOfDrawers_d5dfa7ba7d587fa7cc77a85ce16f6c28,2,4.974677367705823e-05,0.0,0.020587105127664884,5.154108395329701,0.2,0.6571428571428571,ShapeNet::ChestOfDrawers_d5dfa7ba7d587fa7cc77a85ce16f6c28,0.000_-0.000_0.011_0.138_0.263,learning/experiments/logs/grasp_no-com-2-latents_fit_random_train_geo_object82-20230329-224322,average precision,24,-0.0
